,SPCD,DO_BH,HT_TOT,TT_DW_CRM
64461,611,15.7,82.0,1648.93
64525,110,11.8,47.0,596.41
134126,409,10.2,79.1,1099.5
46530,131,11.5,70.0,797.14
91688,746,12.8,84.4,841.32
6287,371,18.6,78.0,3344.47
34044,107,7.6,64.0,372.75
12511,131,13.4,74.1,1149.04
132071,95,5.6,36.3,106.6
98928,693,5.9,57.0,158.39
47633,400,1.3,17.0,4.15
72574,129,19.7,84.0,2042.58
100593,263,3.3,31.6,23.83
33930,121,14.1,62.0,1264.45
54663,693,4.6,48.0,69.95
117818,97,4.8,27.0,60.08
1685,121,9.1,83.0,698.79
61036,812,10.3,50.0,544.55
53769,110,13.5,72.0,1190.21
25531,110,11.6,61.5,749.51
73714,693,10.5,49.0,454.59
41396,222,3.3,27.0,33.62
84918,93,13.8,71.5,970.52
57984,110,5.6,47.0,116.41
83901,242,32.8,108.0,5766.37
21913,121,15.4,62.9,1530.65
53057,128,7.3,42.0,199.24
11428,131,12.6,88.5,1207.47
127621,131,10.9,55.7,570.37
24664,621,10.8,82.0,713.71
95407,129,3.1,35.4,20.03
37731,121,7.2,61.0,309.42
42830,611,12.3,55.0,690.19
102738,122,4.5,23.0,31.41
59393,111,7.6,37.0,193.06
1856,131,17.3,86.0,2220.23
1433,131,3.3,18.1,24.26
130311,123,6.3,33.0,137.05
13647,802,14.3,77.0,1684.52
52075,131,10.4,66.0,612.55
48177,111,7.0,41.0,178.61
20761,110,13.2,69.4,1097.22
25210,129,14.9,99.0,1374.43
38833,111,18.6,86.0,2909.29
23863,131,14.7,67.2,1260.19
86456,93,10.0,45.0,299.91
21466,820,17.3,52.0,1538.78
94653,316,1.2,25.3,3.52
102606,15,10.7,63.8,498.12
86400,93,14.1,62.0,812.34
76062,833,5.9,41.0,179.59
28321,111,12.6,81.9,1269.46
38970,694,2.5,21.0,15.43
15490,837,8.2,52.0,348.18
85650,122,16.7,77.0,1594.17
93319,316,7.3,60.1,234.17
82276,42,18.0,81.9,2024.05
103617,122,9.1,37.8,211.7
79259,131,11.7,62.9,743.29
54172,131,8.2,47.0,261.97
1817,131,9.4,73.3,552.82
4264,375,9.6,66.0,699.62
101666,93,2.7,20.5,12.26
85004,202,7.9,40.0,227.9
85424,15,26.3,123.0,5761.06
100774,93,4.3,38.5,35.42
135193,202,5.7,75.3,181.74
69148,110,7.5,53.0,258.89
133206,318,9.6,56.4,632.04
48052,540,2.0,30.0,9.82
43912,999,5.1,30.0,67.62
49998,110,10.3,56.0,535.12
121927,318,5.9,57.9,226.53
118875,833,11.4,75.5,1076.12
24412,802,16.6,86.9,2509.03
123444,131,14.4,73.1,1311.37
100324,93,3.0,34.0,15.56
80998,12,6.7,49.6,143.17
92964,125,6.6,55.5,173.61
105083,111,10.3,76.0,784.47
52889,621,15.4,63.0,1057.14
71722,110,8.3,62.0,378.29
67711,131,14.3,80.0,1411.49
119819,402,15.4,90.4,2236.81
21382,621,21.9,107.5,3443.69
4310,97,5.0,37.5,64.43
42479,999,6.5,35.0,137.56
39956,835,3.2,28.0,35.39
58790,621,13.2,82.0,1023.05
30644,833,13.5,78.1,1503.32
120135,833,7.5,59.7,401.02
128938,202,6.8,48.4,175.86
132229,375,5.1,39.0,75.61
132435,611,10.3,62.2,616.25
93756,375,6.8,63.7,272.38
12517,131,8.5,59.2,360.69
100469,122,3.8,16.6,20.95
24032,653,7.8,62.1,310.26
94666,591,2.2,17.6,12.39
58059,802,6.8,57.0,358.59
135655,202,23.9,155.5,6662.91
130592,832,8.1,73.4,322.51
131975,317,25.7,81.5,3603.97
86559,122,20.0,78.9,2345.74
63762,132,1.3,17.0,3.23
58091,837,18.1,68.0,2110.1
85303,108,9.7,66.9,556.74
126112,131,3.1,32.6,20.85
60078,400,2.6,28.0,21.99
116527,828,34.8,119.3,13851.97
18636,806,19.8,90.9,4018.18
44375,111,10.7,65.0,725.55
70026,802,8.7,72.0,673.37
102972,202,14.3,123.2,2285.55
24252,611,10.2,58.3,505.42
48464,131,9.2,59.0,425.13
14036,611,6.3,58.0,184.53
63613,131,6.9,45.0,168.83
80204,318,12.7,78.1,1234.11
41426,555,1.1,16.0,1.95
136771,131,9.1,60.6,426.92
35876,121,9.0,45.0,371.33
77371,17,23.2,101.5,3608.02
132946,621,10.8,80.7,781.94
20981,131,16.6,71.2,1703.08
8481,531,24.0,83.9,6449.12
78864,375,7.3,46.0,359.09
111254,746,7.0,57.7,202.5
127737,131,5.1,37.2,59.94
55156,833,3.3,26.0,42.57
134884,202,11.3,117.7,1353.4
32566,15,20.7,74.5,2093.2
22292,901,15.3,85.3,1725.17
56303,621,12.2,80.0,865.29
65417,806,6.4,50.0,269.39
95136,105,4.9,61.0,54.24
92052,68,7.4,28.3,159.94
44823,131,15.7,77.0,1641.57
101594,93,4.0,29.9,30.01
29106,621,12.8,92.1,1081.19
111905,94,5.3,36.1,75.33
12483,131,7.4,65.1,295.79
24169,110,18.6,97.7,3048.91
70788,132,10.2,51.0,495.9
62757,131,15.1,73.0,1441.28
3777,12,8.4,53.0,273.17
73261,400,7.6,52.0,328.8
94446,837,17.0,71.4,1898.93
1748,131,12.0,74.5,923.97
111566,241,7.4,31.2,115.96
43973,111,3.1,28.0,24.68
15625,370,1.9,25.0,10.84
125691,131,6.3,50.8,156.47
116326,461,18.8,91.1,2433.74
112487,111,12.0,73.0,1027.24
72336,132,11.3,58.0,679.45
77421,122,10.7,32.1,257.08
74537,316,8.3,56.0,345.44
98769,371,11.6,77.9,1063.86
6896,97,5.9,40.0,116.6
117046,132,8.0,55.0,331.46
4572,318,29.8,84.2,9567.9
34768,111,4.0,22.0,45.87
64809,110,3.8,33.0,34.14
12052,131,9.5,77.5,597.4
51647,591,12.2,57.0,842.21
4898,371,12.6,62.0,1303.69
4904,371,18.8,71.0,3210.94
84574,15,9.7,37.8,281.68
131480,68,6.1,39.2,99.16
114760,108,2.7,23.0,16.98
119607,806,13.0,69.4,1391.43
98341,400,17.0,99.0,3317.52
5333,531,15.9,73.4,2621.55
2224,832,5.5,43.0,131.12
109015,202,24.3,126.9,5708.47
16974,812,9.2,74.0,652.59
89172,125,12.0,69.2,654.2
110548,110,13.0,60.5,832.83
64472,621,17.9,100.0,2186.64
131420,68,7.5,34.2,165.36
108693,122,19.9,106.4,3104.7
43092,800,3.6,25.0,60.14
23912,111,14.0,94.7,1809.05
122920,129,22.1,104.7,2963.81
110457,802,11.5,77.1,779.02
112367,131,1.5,14.4,3.64
55139,621,6.7,47.0,157.29
100287,19,3.0,24.0,17.18
129589,202,9.1,84.0,636.21
5515,318,19.0,84.3,3914.16
93044,125,5.3,37.8,73.88
126729,802,15.9,70.8,1905.91
55382,831,7.4,53.0,311.2
42008,111,1.0,11.0,1.6
38471,131,13.1,67.0,995.0
87878,122,8.4,38.0,190.81
68064,132,10.4,62.0,616.06
