,SPCD,DO_BH,HT_TOT,TT_DW_CRM
83011,263,17.8,65.2,1562.75
121078,131,9.3,58.5,431.09
48280,131,7.7,57.0,279.98
79097,110,14.5,77.0,1467.76
52618,691,5.0,42.0,98.05
114367,131,4.7,46.3,57.16
71970,400,1.4,11.0,4.95
97728,17,28.6,162.8,8198.5
5595,371,10.3,66.2,906.8
25400,621,16.9,117.8,2300.77
93342,316,12.5,53.7,685.11
1721,121,14.0,84.0,1674.2
94225,802,23.5,56.1,2984.6
65120,611,12.3,60.0,753.63
119566,110,20.6,75.9,2933.65
93957,746,5.6,68.3,131.12
132707,129,5.8,36.9,98.29
113563,131,5.6,46.1,104.13
100220,263,3.4,38.0,25.64
19408,541,12.5,80.7,1232.13
99109,832,20.9,74.3,3657.48
136467,802,15.9,75.1,2061.64
11854,110,3.4,31.0,26.08
87011,121,8.8,53.1,413.93
35676,111,4.1,51.0,48.71
15533,820,5.1,40.0,116.71
27065,126,18.0,82.1,2366.96
59586,611,14.0,71.2,1148.86
45268,827,2.6,38.0,23.01
80926,833,5.3,48.3,136.23
70206,110,5.6,38.0,89.91
23635,128,13.0,68.0,1079.56
87596,15,10.1,45.6,320.49
32193,110,8.0,44.2,246.17
127097,131,5.4,38.0,73.22
91849,951,17.9,66.8,1132.47
1624,121,16.0,70.0,1832.11
1637,121,20.6,83.0,3580.03
119250,316,8.1,51.7,305.43
21054,806,20.6,91.1,4344.39
58540,832,16.8,85.0,2434.84
96885,371,17.6,69.8,2251.37
78463,15,18.3,85.2,2276.79
101901,263,3.0,20.5,18.85
29474,611,12.7,79.0,1057.52
101365,747,2.3,32.1,6.64
2173,540,3.4,40.0,36.64
117743,711,2.2,23.0,11.23
11045,131,10.8,78.2,782.73
101730,19,3.5,21.5,25.06
20747,110,9.5,62.8,507.72
105986,819,5.1,21.0,57.46
22771,812,12.8,61.2,1000.03
119867,403,16.4,74.7,2263.6
115337,131,6.0,26.2,59.6
65330,131,7.8,63.0,320.12
69338,802,6.8,63.0,393.05
73753,832,6.7,48.0,240.74
66762,131,19.1,78.0,2465.63
29978,611,13.3,68.3,998.36
47233,131,21.5,86.0,3434.42
116648,15,7.9,50.8,225.78
39304,121,9.4,61.0,549.2
84815,108,6.1,32.0,85.19
116507,831,26.1,124.0,8098.35
127988,131,5.2,27.7,40.18
100636,242,4.6,36.0,54.18
14267,316,2.6,41.0,21.36
86829,108,12.4,71.0,826.26
71572,621,6.7,54.0,183.55
43493,111,6.6,56.0,221.7
7726,371,15.8,85.5,2565.08
100419,747,3.3,36.1,15.43
69508,832,6.3,47.0,208.68
26882,832,17.1,97.0,2866.5
71763,370,1.5,15.0,6.23
91408,746,8.5,78.7,362.88
64740,131,10.3,79.0,718.07
15617,694,5.8,59.0,180.98
2873,375,7.4,60.0,360.25
99069,806,11.2,56.3,994.95
36663,111,15.6,75.0,1789.91
114913,15,23.2,105.6,3634.09
10154,131,7.0,47.5,185.48
66797,131,6.8,63.0,237.18
22058,131,18.1,87.3,2466.57
46395,131,5.7,35.0,76.4
81871,122,17.9,73.0,1557.33
114906,122,9.8,51.2,357.33
22268,901,15.8,83.4,1791.76
66379,132,5.6,31.0,88.61
78093,122,11.8,69.0,663.42
2296,12,7.8,52.0,242.45
34779,121,12.7,59.0,976.48
27058,126,18.7,78.5,2446.17
2530,375,11.2,86.5,1087.85
80980,951,8.6,65.0,296.32
131170,531,3.3,37.9,33.6
71630,316,3.0,34.0,29.92
136590,131,8.7,51.0,324.79
12684,131,5.3,38.1,69.62
67662,128,12.7,63.0,960.14
132043,12,18.0,73.4,1543.93
20685,835,7.5,61.0,402.62
2144,833,1.6,20.0,7.37
114764,108,1.0,9.8,1.55
116135,313,8.9,65.2,391.99
84847,108,15.8,57.2,1178.33
11362,131,6.8,46.5,169.31
109146,202,24.8,121.7,5635.22
662,105,7.6,63.6,223.19
131848,802,8.8,57.2,440.26
109716,202,19.3,102.4,3077.41
13179,131,6.2,33.8,92.05
80603,129,21.5,90.1,2373.42
23389,121,13.7,50.4,977.24
4519,318,26.0,99.7,8145.81
107961,15,12.0,72.5,659.69
84235,202,19.2,71.1,2551.37
18108,131,9.4,74.6,562.66
46961,131,8.3,49.0,281.15
87584,746,5.4,37.7,66.64
8917,318,14.3,74.2,2044.53
78722,19,24.8,113.0,4091.28
35197,111,6.7,33.0,124.32
84685,19,8.6,50.2,244.06
72332,131,6.4,54.0,174.12
57968,110,9.3,75.0,580.99
7200,371,18.2,73.7,3055.91
136532,837,11.0,60.9,878.64
134487,202,14.4,112.5,2016.07
94636,129,9.7,50.0,382.89
100938,93,3.5,23.4,22.11
34618,131,8.2,74.0,421.28
66172,131,14.3,74.0,1308.5
105006,111,8.2,74.0,479.57
115365,746,3.7,36.1,35.62
7335,316,17.0,75.6,2449.2
75816,400,9.9,63.0,680.78
126986,263,16.0,99.0,1896.11
13471,540,3.6,32.0,42.23
62702,131,13.2,74.0,1113.18
25468,833,13.6,82.8,1610.6
19625,828,32.9,104.8,10948.73
100575,242,3.0,32.0,20.77
11464,131,3.3,23.0,24.26
19655,828,11.3,85.3,1228.52
108587,122,7.0,28.1,92.05
33600,17,5.5,50.7,112.54
97396,950,16.2,89.0,1341.89
37373,400,15.5,73.0,1888.48
63997,835,6.8,36.0,190.78
4498,531,4.7,44.0,79.18
86171,122,19.9,109.0,2869.99
