SPCD,DO_BH,HT_TOT,TT_DW_CRM
110,11.6,65.7,617.81
110,11.8,62.5,646.2
110,11.8,62.5,646.2
110,12.3,69,720.55
110,12.8,66.4,799.77
110,13,59,832.83
110,13.4,70,901.34
110,13.4,60.3,901.34
110,17.2,77.4,1711.49
110,17.9,71,1891.75
802,11.1,69,714.6
802,11.3,68.6,746.4
802,11.5,59,779.02
802,14.6,68.2,1391.94
802,18.2,87.6,2357.74
802,10.4,66.6,609.7
802,11,73,699
802,11.2,63,730.4
802,11.8,69,829.5
802,12.6,66,973.29
802,13.3,62,1110.16
802,13.8,68.5,1214.28
802,14.9,69.5,1462.07
802,15,73.4,1485.88
802,19.5,70,2770.55
806,9.6,71.9,537.66
806,12.5,74.4,1029.71
806,12.9,80.4,1113
806,13.6,79.5,1268.13
806,15.8,78,1835.08
806,16.3,76.8,1981
806,16.6,81.2,2071.62
806,19.3,83.3,2990.32
806,9.9,68.5,579.79
806,10.2,63,623.88
806,11.5,70,838.2
806,12.2,72,969.77
806,12.4,66.6,1009.49
806,12.6,73,1050.17
806,12.7,79,1070.87
806,13,72,1134.43
806,13.1,71.2,1156.1
806,13.4,63.8,1222.58
806,13.5,72.3,1245.23
806,13.7,79,1291.27
806,14.4,81.5,1460.23
806,14.8,76.7,1562.28
806,14.8,72.6,1562.28
806,15.1,79.6,1641.46
806,15.4,74.5,1722.92
806,16,70.6,1892.68
806,16.7,75,2102.34
806,17,79.5,2196.01
806,17.1,75.4,2227.75
835,13.4,52.3,1113.89
835,17,63.9,1980.1
835,10.3,65.5,588.67
835,13,69.6,1034.92
837,9.8,69.3,503.59
837,10.6,65,610.6
837,11.2,74.6,699.23
837,11.6,69.9,762.4
837,12.1,60.7,846.04
837,12.3,70,880.97
837,13.3,74.5,1068.46
837,14.5,73.6,1322.28
837,15,77.6,1437.49
837,10.2,64,555.52
837,10.2,54.6,555.52
837,10.7,65.5,624.87
837,10.8,65.6,639.33
837,10.8,69,639.33
837,11.2,56.2,699.23
837,11.4,62.3,730.4
837,11.6,51.5,762.4
837,11.8,64.1,795.22
837,12.3,68,880.97
837,12.3,72,880.97
837,12.4,73,898.75
837,13.3,68.3,1068.46
837,13.3,71.6,1068.46
837,13.4,66,1088.4
837,13.4,72,1088.4
837,14.8,76,1390.73
837,15,73.9,1437.49
837,15.5,74.2,1558.31
837,17.6,73,2127.61
837,18.8,67,2497.82
802,9,59.6,429.06
802,10.6,59.4,638.66
802,17,70.9,2006.1
802,8.7,66.9,395.25
802,8.9,56.3,417.6
802,12,71.5,864.19
802,15.8,75.9,1683.91
802,23.4,77.5,4185.35
806,13.1,77.2,1156.1
806,13.4,75.8,1222.58
806,14.6,74.8,1510.75
806,16.9,78.8,2164.53
806,17.1,74.6,2227.75
806,11,67.8,751.22
806,12.3,63.7,989.51
806,13.2,73.5,1178.01
806,13.3,76.2,1200.17
806,15.7,75.5,1806.65
806,15.7,71.4,1806.65
806,16.2,78.7,1951.31
806,16.5,68.4,2041.16
806,17,78.7,2196.01
806,19.8,74,3180.64
835,8,57.1,320.96
835,11.1,64.9,705.45
835,7.1,46.6,241.91
837,13.5,74.9,1108.56
837,14,71.1,1212.65
837,19.1,77.2,2595.44
837,12.3,60.3,880.97
12,7.4,49.9,160.47
12,7.6,53,176.94
12,7.7,49,195.25
12,8.4,42.3,208.54
12,8.4,51.8,229.7
94,8.3,50.6,246.72
94,14.8,70.4,1091.31
375,6.5,52.4,217.37
375,7,52.6,252.44
375,8.7,63,459.28
375,11,64.3,712.84
375,14.5,68.7,1242.73
746,15,80,1185.81
746,15.8,87.5,1397.48
746,18.5,96.6,2029.97
94,8.5,42,238.65
94,9.5,59.9,373.72
125,5.8,63.2,131.45
125,5.9,61.5,147.03
125,7.1,61.5,221.24
125,7.1,69,240.06
125,7.5,63,242.52
125,8,65.8,300.75
125,8.1,70.8,324.31
125,8.5,70.1,348.57
125,8.6,70,371.87
125,9.3,66.1,417.86
125,9.4,73.3,441.28
125,9.6,73.5,478.22
125,9.9,70.2,497.87
125,10,71.5,499.79
125,11.9,71.8,706.18
125,14.5,72.3,1009.77
125,5.1,50,74.21
125,5.2,54.2,95.17
125,6.4,67.4,183.82
125,6.6,60.6,175.27
125,6.6,56,156.14
125,6.9,59.8,215.72
125,7.1,61.5,221.24
125,7.1,61.5,235.8
125,8.1,65,315.03
125,8.3,72.2,339.55
125,8.5,62.3,321.13
125,8.7,64,335.65
125,8.9,63.7,352.1
125,8.9,65.6,387.3
125,9,67,368.28
125,9.2,74.9,442.18
125,9.5,52.3,341.52
125,9.8,72.1,491.73
125,10.4,63,481.67
125,10.7,75,595.99
125,10.8,74.3,575.79
125,11.5,76.8,710.82
125,11.6,78,712.09
125,11.6,72.9,679.01
125,11.7,69.3,659.38
125,12.4,67.6,716.53
125,12.5,72.7,795.37
94,9,62.3,363.48
94,10,61,458.7
95,5.9,52.5,148.52
241,5.6,40.5,79.12
241,6.1,42.2,91.63
241,6.9,42.5,128.08
241,7.2,47.6,137.62
241,7.5,46.4,169.91
241,8,48.3,200.35
241,9.1,50.8,235.27
241,10,50.9,311.46
